snapshot_id,agent_id,version,tool_name,parameter_name,required,parameter_type,description
claude-code/1.0.0,claude-code,1.0.0,Bash,command,true,string,The command to execute
claude-code/1.0.0,claude-code,1.0.0,Bash,timeout,false,number,Optional timeout in milliseconds (max 600000)
claude-code/1.0.0,claude-code,1.0.0,Bash,description,false,string," Clear, concise description of what this command does in 5-10 words. Examples:
Input: ls
Output: Lists files in current directory

Input: git status
Output: Shows working tree status

Input: npm install
Output: Installs package dependencies

Input: mkdir foo
Output: Creates directory 'foo'"
claude-code/1.0.0,claude-code,1.0.0,Edit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.0,claude-code,1.0.0,Edit,old_string,true,string,The text to replace
claude-code/1.0.0,claude-code,1.0.0,Edit,new_string,true,string,The text to replace it with
claude-code/1.0.0,claude-code,1.0.0,Edit,expected_replacements,false,number,The expected number of replacements to perform. Defaults to 1 if not specified.
claude-code/1.0.0,claude-code,1.0.0,Glob,pattern,true,string,The glob pattern to match files against
claude-code/1.0.0,claude-code,1.0.0,Glob,path,false,string,"The directory to search in. If not specified, the current working directory will be used. IMPORTANT: Omit this field to use the default directory. DO NOT enter ""undefined"" or ""null"" - simply omit it for the default behavior. Must be a valid directory path if provided."
claude-code/1.0.0,claude-code,1.0.0,Grep,pattern,true,string,The regular expression pattern to search for in file contents
claude-code/1.0.0,claude-code,1.0.0,Grep,path,false,string,The directory to search in. Defaults to the current working directory.
claude-code/1.0.0,claude-code,1.0.0,Grep,include,false,string,"File pattern to include in the search (e.g. ""*.js"", ""*.{ts,tsx}"")"
claude-code/1.0.0,claude-code,1.0.0,LS,path,true,string,"The absolute path to the directory to list (must be absolute, not relative)"
claude-code/1.0.0,claude-code,1.0.0,LS,ignore,false,array,List of glob patterns to ignore
claude-code/1.0.0,claude-code,1.0.0,MultiEdit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.0,claude-code,1.0.0,MultiEdit,edits,true,array,Array of edit operations to perform sequentially on the file
claude-code/1.0.0,claude-code,1.0.0,NotebookEdit,notebook_path,true,string,"The absolute path to the Jupyter notebook file to edit (must be absolute, not relative)"
claude-code/1.0.0,claude-code,1.0.0,NotebookEdit,cell_number,true,number,The index of the cell to edit (0-based)
claude-code/1.0.0,claude-code,1.0.0,NotebookEdit,new_source,true,string,The new source for the cell
claude-code/1.0.0,claude-code,1.0.0,NotebookEdit,cell_type,false,string,"The type of the cell (code or markdown). If not specified, it defaults to the current cell type. If using edit_mode=insert, this is required."
claude-code/1.0.0,claude-code,1.0.0,NotebookEdit,edit_mode,false,string,"The type of edit to make (replace, insert, delete). Defaults to replace."
claude-code/1.0.0,claude-code,1.0.0,NotebookRead,notebook_path,true,string,"The absolute path to the Jupyter notebook file to read (must be absolute, not relative)"
claude-code/1.0.0,claude-code,1.0.0,Read,file_path,true,string,The absolute path to the file to read
claude-code/1.0.0,claude-code,1.0.0,Read,offset,false,number,The line number to start reading from. Only provide if the file is too large to read at once
claude-code/1.0.0,claude-code,1.0.0,Read,limit,false,number,The number of lines to read. Only provide if the file is too large to read at once.
claude-code/1.0.0,claude-code,1.0.0,Task,description,true,string,A short (3-5 word) description of the task
claude-code/1.0.0,claude-code,1.0.0,Task,prompt,true,string,The task for the agent to perform
claude-code/1.0.0,claude-code,1.0.0,TodoWrite,todos,true,array,The updated todo list
claude-code/1.0.0,claude-code,1.0.0,WebFetch,url,true,string,The URL to fetch content from
claude-code/1.0.0,claude-code,1.0.0,WebFetch,prompt,true,string,The prompt to run on the fetched content
claude-code/1.0.0,claude-code,1.0.0,WebSearch,query,true,string,The search query to use
claude-code/1.0.0,claude-code,1.0.0,WebSearch,allowed_domains,false,array,Only include search results from these domains
claude-code/1.0.0,claude-code,1.0.0,WebSearch,blocked_domains,false,array,Never include search results from these domains
claude-code/1.0.0,claude-code,1.0.0,Write,file_path,true,string,"The absolute path to the file to write (must be absolute, not relative)"
claude-code/1.0.0,claude-code,1.0.0,Write,content,true,string,The content to write to the file
claude-code/1.0.1,claude-code,1.0.1,Bash,command,true,string,The command to execute
claude-code/1.0.1,claude-code,1.0.1,Bash,timeout,false,number,Optional timeout in milliseconds (max 600000)
claude-code/1.0.1,claude-code,1.0.1,Bash,description,false,string," Clear, concise description of what this command does in 5-10 words. Examples:
Input: ls
Output: Lists files in current directory

Input: git status
Output: Shows working tree status

Input: npm install
Output: Installs package dependencies

Input: mkdir foo
Output: Creates directory 'foo'"
claude-code/1.0.1,claude-code,1.0.1,Edit,file_path,true,string,The absolute path to the file to modify
claude-code/1.0.1,claude-code,1.0.1,Edit,old_string,true,string,The text to replace
claude-code/1.0.1,claude-code,1.0.1,Edit,new_string,true,string,The text to replace it with
