snapshot_id,agent_id,version,published_at,source_order,tool_name,description_chars,schema_chars,parameter_count,required_parameter_count,source,description,schema_json
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,0,Bash,9018,666,3,1,trace,"Executes a given bash command in a persistent shell session with optional timeout, ensuring proper handling and security measures.

Before executing the command, please follow these steps:

1. Directory Verification:
   - If the command will create new directories or files, first use the LS tool to verify the parent directory exists and is the correct location
   - For example, before running ""mkdir foo/bar"", first use LS to check that ""foo"" exists and is the intended parent directory

2. Command Execution:
   - After ensuring proper quoting, execute the command.
   - Capture the output of the command.

Usage notes:
  - The command argument is required.
  - You can specify an optional timeout in milliseconds (up to 600000ms / 10 minutes). If not specified, commands will timeout after 120000ms (2 minutes).
  - It is very helpful if you write a clear, concise description of what this command does in 5-10 words.
  - If the output exceeds 30000 characters, output will be truncated before being returned to you.
  - VERY IMPORTANT: You MUST avoid using search commands like `find` and `grep`. Instead use Grep, Glob, or Task to search. You MUST avoid read tools like `cat`, `head`, `tail`, and `ls`, and use Read and LS to read files.
  - If you _still_ need to run `grep`, STOP. ALWAYS USE ripgrep at `rg` (or /data00/home/liangweifeng/.cargo/bin/rg) first, which all Claude Code users have pre-installed.
  - When issuing multiple commands, use the ';' or '&&' operator to separate them. DO NOT use newlines (newlines are ok in quoted strings).
  - Try to maintain your current working directory throughout the session by using absolute paths and avoiding usage of `cd`. You may use `cd` if the User explicitly requests it.
    <good-example>
    pytest /foo/bar/tests
    </good-example>
    <bad-example>
    cd /foo/bar && pytest tests
    </bad-example>



# Committing changes with git

When the user asks you to create a new git commit, follow these steps carefully:

1. You have the capability to call multiple tools in a single response. When multiple independent pieces of information are requested, batch your tool calls together for optimal performance. ALWAYS run the following bash commands in parallel, each using the Bash tool:
   - Run a git status command to see all untracked files.
   - Run a git diff command to see both staged and unstaged changes that will be committed.
   - Run a git log command to see recent commit messages, so that you can follow this repository's commit message style.

2. Analyze all staged changes (both previously staged and newly added) and draft a commit message. Wrap your analysis process in <commit_analysis> tags:

<commit_analysis>
- List the files that have been changed or added
- Summarize the nature of the changes (eg. new feature, enhancement to an existing feature, bug fix, refactoring, test, docs, etc.)
- Brainstorm the purpose or motivation behind these changes
- Assess the impact of these changes on the overall project
- Check for any sensitive information that shouldn't be committed
- Draft a concise (1-2 sentences) commit message that focuses on the ""why"" rather than the ""what""
- Ensure your language is clear, concise, and to the point
- Ensure the message accurately reflects the changes and their purpose (i.e. ""add"" means a wholly new feature, ""update"" means an enhancement to an existing feature, ""fix"" means a bug fix, etc.)
- Ensure the message is not generic (avoid words like ""Update"" or ""Fix"" without context)
- Review the draft message to ensure it accurately reflects the changes and their purpose
</commit_analysis>

3. You have the capability to call multiple tools in a single response. When multiple independent pieces of information are requested, batch your tool calls together for optimal performance. ALWAYS run the following commands in parallel:
   - Add relevant untracked files to the staging area.
   - Create the commit with a message ending with:
   🤖 Generated with [Claude Code](https://claude.ai/code)

   Co-Authored-By: Claude <noreply@anthropic.com>
   - Run git status to make sure the commit succeeded.

4. If the commit fails due to pre-commit hook changes, retry the commit ONCE to include these automated changes. If it fails again, it usually means a pre-commit hook is preventing the commit. If the commit succeeds but you notice that files were modified by the pre-commit hook, you MUST amend your commit to include them.

Important notes:
- Use the git context at the start of this conversation to determine which files are relevant to your commit. Be careful not to stage and commit files (e.g. with `git add .`) that aren't relevant to your commit.
- NEVER update the git config
- DO NOT run additional commands to read or explore code, beyond what is available in the git context
- DO NOT push to the remote repository
- IMPORTANT: Never use git commands with the -i flag (like git rebase -i or git add -i) since they require interactive input which is not supported.
- If there are no changes to commit (i.e., no untracked files and no modifications), do not create an empty commit
- Ensure your commit message is meaningful and concise. It should explain the purpose of the changes, not just describe them.
- Return an empty response - the user will see the git output directly
- In order to ensure good formatting, ALWAYS pass the commit message via a HEREDOC, a la this example:
<example>
git commit -m ""$(cat <<'EOF'
   Commit message here.

   🤖 Generated with [Claude Code](https://claude.ai/code)

   Co-Authored-By: Claude <noreply@anthropic.com>
   EOF
   )""
</example>

# Creating pull requests
Use the gh command via the Bash tool for ALL GitHub-related tasks including working with issues, pull requests, checks, and releases. If given a Github URL use the gh command to get the information needed.

IMPORTANT: When the user asks you to create a pull request, follow these steps carefully:

1. You have the capability to call multiple tools in a single response. When multiple independent pieces of information are requested, batch your tool calls together for optimal performance. ALWAYS run the following bash commands in parallel using the Bash tool, in order to understand the current state of the branch since it diverged from the main branch:
   - Run a git status command to see all untracked files
   - Run a git diff command to see both staged and unstaged changes that will be committed
   - Check if the current branch tracks a remote branch and is up to date with the remote, so you know if you need to push to the remote
   - Run a git log command and `git diff main...HEAD` to understand the full commit history for the current branch (from the time it diverged from the `main` branch)

2. Analyze all changes that will be included in the pull request, making sure to look at all relevant commits (NOT just the latest commit, but ALL commits that will be included in the pull request!!!), and draft a pull request summary. Wrap your analysis process in <pr_analysis> tags:

<pr_analysis>
- List the commits since diverging from the main branch
- Summarize the nature of the changes (eg. new feature, enhancement to an existing feature, bug fix, refactoring, test, docs, etc.)
- Brainstorm the purpose or motivation behind these changes
- Assess the impact of these changes on the overall project
- Do not use tools to explore code, beyond what is available in the git context
- Check for any sensitive information that shouldn't be committed
- Draft a concise (1-2 bullet points) pull request summary that focuses on the ""why"" rather than the ""what""
- Ensure the summary accurately reflects all changes since diverging from the main branch
- Ensure your language is clear, concise, and to the point
- Ensure the summary accurately reflects the changes and their purpose (ie. ""add"" means a wholly new feature, ""update"" means an enhancement to an existing feature, ""fix"" means a bug fix, etc.)
- Ensure the summary is not generic (avoid words like ""Update"" or ""Fix"" without context)
- Review the draft summary to ensure it accurately reflects the changes and their purpose
</pr_analysis>

3. You have the capability to call multiple tools in a single response. When multiple independent pieces of information are requested, batch your tool calls together for optimal performance. ALWAYS run the following commands in parallel:
   - Create new branch if needed
   - Push to remote with -u flag if needed
   - Create PR using gh pr create with the format below. Use a HEREDOC to pass the body to ensure correct formatting.
<example>
gh pr create --title ""the pr title"" --body ""$(cat <<'EOF'
## Summary
<1-3 bullet points>

## Test plan
[Checklist of TODOs for testing the pull request...]

🤖 Generated with [Claude Code](https://claude.ai/code)
EOF
)""
</example>

Important:
- NEVER update the git config
- Return the PR URL when you're done, so the user can see it

# Other common operations
- View comments on a Github PR: gh api repos/foo/bar/pulls/123/comments","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""command"": {""description"": ""The command to execute"", ""type"": ""string""}, ""description"": {""description"": "" Clear, concise description of what this command does in 5-10 words. Examples:\nInput: ls\nOutput: Lists files in current directory\n\nInput: git status\nOutput: Shows working tree status\n\nInput: npm install\nOutput: Installs package dependencies\n\nInput: mkdir foo\nOutput: Creates directory 'foo'"", ""type"": ""string""}, ""timeout"": {""description"": ""Optional timeout in milliseconds (max 600000)"", ""type"": ""number""}}, ""required"": [""command""], ""type"": ""object""}"
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,1,Edit,548,574,4,3,trace,"Performs exact string replacements in files with strict occurrence count validation.

Usage:
- When editing text from Read tool output, ensure you preserve the exact indentation (tabs/spaces) as it appears AFTER the line number prefix. The line number prefix format is: spaces + line number + tab. Everything after that tab is the actual file content to match. Never include any part of the line number prefix in the old_string or new_string.
- ALWAYS prefer editing existing files in the codebase. NEVER write new files unless explicitly required.","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""expected_replacements"": {""default"": 1, ""description"": ""The expected number of replacements to perform. Defaults to 1 if not specified."", ""type"": ""number""}, ""file_path"": {""description"": ""The absolute path to the file to modify"", ""type"": ""string""}, ""new_string"": {""description"": ""The text to replace it with"", ""type"": ""string""}, ""old_string"": {""description"": ""The text to replace"", ""type"": ""string""}}, ""required"": [""file_path"", ""old_string"", ""new_string""], ""type"": ""object""}"
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,2,Glob,545,552,2,1,trace,"- Fast file pattern matching tool that works with any codebase size
- Supports glob patterns like ""**/*.js"" or ""src/**/*.ts""
- Returns matching file paths sorted by modification time
- Use this tool when you need to find files by name patterns
- When you are doing an open ended search that may require multiple rounds of globbing and grepping, use the Agent tool instead
- You have the capability to call multiple tools in a single response. It is always better to speculatively perform multiple searches as a batch that are potentially useful.","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""path"": {""description"": ""The directory to search in. If not specified, the current working directory will be used. IMPORTANT: Omit this field to use the default directory. DO NOT enter \""undefined\"" or \""null\"" - simply omit it for the default behavior. Must be a valid directory path if provided."", ""type"": ""string""}, ""pattern"": {""description"": ""The glob pattern to match files against"", ""type"": ""string""}}, ""required"": [""pattern""], ""type"": ""object""}"
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,3,Grep,674,491,3,1,trace,"
- Fast content search tool that works with any codebase size
- Searches file contents using regular expressions
- Supports full regex syntax (eg. ""log.*Error"", ""function\s+\w+"", etc.)
- Filter files by pattern with the include parameter (eg. ""*.js"", ""*.{ts,tsx}"")
- Returns file paths with at least one match sorted by modification time
- Use this tool when you need to find files containing specific patterns
- If you need to identify/count the number of matches within files, use the Bash tool with `rg` (ripgrep) directly. Do NOT use `grep`.
- When you are doing an open ended search that may require multiple rounds of globbing and grepping, use the Agent tool instead
","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""include"": {""description"": ""File pattern to include in the search (e.g. \""*.js\"", \""*.{ts,tsx}\"")"", ""type"": ""string""}, ""path"": {""description"": ""The directory to search in. Defaults to the current working directory."", ""type"": ""string""}, ""pattern"": {""description"": ""The regular expression pattern to search for in file contents"", ""type"": ""string""}}, ""required"": [""pattern""], ""type"": ""object""}"
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,4,LS,294,371,2,1,trace,"Lists files and directories in a given path. The path parameter must be an absolute path, not a relative path. You can optionally provide an array of glob patterns to ignore with the ignore parameter. You should generally prefer the Glob and Grep tools, if you know which directories to search.","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""ignore"": {""description"": ""List of glob patterns to ignore"", ""items"": {""type"": ""string""}, ""type"": ""array""}, ""path"": {""description"": ""The absolute path to the directory to list (must be absolute, not relative)"", ""type"": ""string""}}, ""required"": [""path""], ""type"": ""object""}"
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,5,MultiEdit,2470,795,2,2,trace,"This is a tool for making multiple edits to a single file in one operation. It is built on top of the Edit tool and allows you to perform multiple find-and-replace operations efficiently. Prefer this tool over the Edit tool when you need to make multiple edits to the same file.

Before using this tool:

1. Use the Read tool to understand the file's contents and context
2. Verify the directory path is correct

To make multiple file edits, provide the following:
1. file_path: The absolute path to the file to modify (must be absolute, not relative)
2. edits: An array of edit operations to perform, where each edit contains:
   - old_string: The text to replace (must match the file contents exactly, including all whitespace and indentation)
   - new_string: The edited text to replace the old_string
   - expected_replacements: The number of replacements you expect to make. Defaults to 1 if not specified.

IMPORTANT:
- All edits are applied in sequence, in the order they are provided
- Each edit operates on the result of the previous edit
- All edits must be valid for the operation to succeed - if any edit fails, none will be applied
- This tool is ideal when you need to make several changes to different parts of the same file
- For Jupyter notebooks (.ipynb files), use the NotebookEdit instead

CRITICAL REQUIREMENTS:
1. All edits follow the same requirements as the single Edit tool
2. The edits are atomic - either all succeed or none are applied
3. Plan your edits carefully to avoid conflicts between sequential operations

WARNING:
- The tool will fail if edits.old_string matches multiple locations and edits.expected_replacements isn't specified
- The tool will fail if the number of matches doesn't equal edits.expected_replacements when it's specified
- The tool will fail if edits.old_string doesn't match the file contents exactly (including whitespace)
- The tool will fail if edits.old_string and edits.new_string are the same
- Since edits are applied in sequence, ensure that earlier edits don't affect the text that later edits are trying to find

When making edits:
- Ensure all edits result in idiomatic, correct code
- Do not leave the code in a broken state
- Always use absolute file paths (starting with /)

If you want to create a new file, use:
- A new file path, including dir name if needed
- First edit: empty old_string and the new file's contents as new_string
- Subsequent edits: normal edit operations on the created content","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""edits"": {""description"": ""Array of edit operations to perform sequentially on the file"", ""items"": {""additionalProperties"": false, ""properties"": {""expected_replacements"": {""default"": 1, ""description"": ""The expected number of replacements to perform. Defaults to 1 if not specified."", ""type"": ""number""}, ""new_string"": {""description"": ""The text to replace it with"", ""type"": ""string""}, ""old_string"": {""description"": ""The text to replace"", ""type"": ""string""}}, ""required"": [""old_string"", ""new_string""], ""type"": ""object""}, ""minItems"": 1, ""type"": ""array""}, ""file_path"": {""description"": ""The absolute path to the file to modify"", ""type"": ""string""}}, ""required"": [""file_path"", ""edits""], ""type"": ""object""}"
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,6,NotebookEdit,513,883,5,3,trace,"Completely replaces the contents of a specific cell in a Jupyter notebook (.ipynb file) with new source. Jupyter notebooks are interactive documents that combine code, text, and visualizations, commonly used for data analysis and scientific computing. The notebook_path parameter must be an absolute path, not a relative path. The cell_number is 0-indexed. Use edit_mode=insert to add a new cell at the index specified by cell_number. Use edit_mode=delete to delete the cell at the index specified by cell_number.","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""cell_number"": {""description"": ""The index of the cell to edit (0-based)"", ""type"": ""number""}, ""cell_type"": {""description"": ""The type of the cell (code or markdown). If not specified, it defaults to the current cell type. If using edit_mode=insert, this is required."", ""enum"": [""code"", ""markdown""], ""type"": ""string""}, ""edit_mode"": {""description"": ""The type of edit to make (replace, insert, delete). Defaults to replace."", ""enum"": [""replace"", ""insert"", ""delete""], ""type"": ""string""}, ""new_source"": {""description"": ""The new source for the cell"", ""type"": ""string""}, ""notebook_path"": {""description"": ""The absolute path to the Jupyter notebook file to edit (must be absolute, not relative)"", ""type"": ""string""}}, ""required"": [""notebook_path"", ""cell_number"", ""new_source""], ""type"": ""object""}"
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,7,NotebookRead,309,293,1,1,trace,"Reads a Jupyter notebook (.ipynb file) and returns all of the cells with their outputs. Jupyter notebooks are interactive documents that combine code, text, and visualizations, commonly used for data analysis and scientific computing. The notebook_path parameter must be an absolute path, not a relative path.","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""notebook_path"": {""description"": ""The absolute path to the Jupyter notebook file to read (must be absolute, not relative)"", ""type"": ""string""}}, ""required"": [""notebook_path""], ""type"": ""object""}"
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,8,Read,1562,507,3,1,trace,"Reads a file from the local filesystem. You can access any file directly by using this tool.
Assume this tool is able to read all files on the machine. If the User provides a path to a file assume that path is valid. It is okay to read a file that does not exist; an error will be returned.

Usage:
- The file_path parameter must be an absolute path, not a relative path
- By default, it reads up to 2000 lines starting from the beginning of the file
- You can optionally specify a line offset and limit (especially handy for long files), but it's recommended to read the whole file by not providing these parameters
- Any lines longer than 2000 characters will be truncated
- Results are returned using cat -n format, with line numbers starting at 1
- This tool allows Claude Code to read images (eg PNG, JPG, etc). When reading an image file the contents are presented visually as Claude Code is a multimodal LLM.
- For Jupyter notebooks (.ipynb files), use the NotebookRead instead
- You have the capability to call multiple tools in a single response. It is always better to speculatively read multiple files as a batch that are potentially useful. 
- You will regularly be asked to read screenshots. If the user provides a path to a screenshot ALWAYS use this tool to view the file at the path. This tool will work with all temporary file paths like /var/folders/123/abc/T/TemporaryItems/NSIRD_screencaptureui_ZfB1tD/Screenshot.png
- If you read a file that exists but has empty contents you will receive a system reminder warning in place of file contents.","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""file_path"": {""description"": ""The absolute path to the file to read"", ""type"": ""string""}, ""limit"": {""description"": ""The number of lines to read. Only provide if the file is too large to read at once."", ""type"": ""number""}, ""offset"": {""description"": ""The line number to start reading from. Only provide if the file is too large to read at once"", ""type"": ""number""}}, ""required"": [""file_path""], ""type"": ""object""}"
claude-code/1.0.0,claude-code,1.0.0,2025-05-22T16:57:18.061Z,9,Task,2013,336,2,2,trace,"Launch a new agent that has access to the following tools: Bash, Glob, Grep, LS, Read, Edit, MultiEdit, Write, NotebookRead, NotebookEdit, WebFetch, TodoRead, TodoWrite, WebSearch. When you are searching for a keyword or file and are not confident that you will find the right match in the first few tries, use the Agent tool to perform the search for you.

When to use the Agent tool:
- If you are searching for a keyword like ""config"" or ""logger"", or for questions like ""which file does X?"", the Agent tool is strongly recommended

When NOT to use the Agent tool:
- If you want to read a specific file path, use the Read or Glob tool instead of the Agent tool, to find the match more quickly
- If you are searching for a specific class definition like ""class Foo"", use the Glob tool instead, to find the match more quickly
- If you are searching for code within a specific file or set of 2-3 files, use the Read tool instead of the Agent tool, to find the match more quickly

Usage notes:
1. Launch multiple agents concurrently whenever possible, to maximize performance; to do that, use a single message with multiple tool uses
2. When the agent is done, it will return a single message back to you. The result returned by the agent is not visible to the user. To show the user the result, you should send a text message back to the user with a concise summary of the result.
3. Each agent invocation is stateless. You will not be able to send additional messages to the agent, nor will the agent be able to communicate with you outside of its final report. Therefore, your prompt should contain a highly detailed task description for the agent to perform autonomously and you should specify exactly what information the agent should return back to you in its final and only message to you.
4. The agent's outputs should generally be trusted
5. Clearly tell the agent whether you expect it to write code or just to do research (search, file reads, web fetches, etc.), since it is not aware of the user's intent","{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""additionalProperties"": false, ""properties"": {""description"": {""description"": ""A short (3-5 word) description of the task"", ""type"": ""string""}, ""prompt"": {""description"": ""The task for the agent to perform"", ""type"": ""string""}}, ""required"": [""description"", ""prompt""], ""type"": ""object""}"
