agent_id,snapshots,distinct_commands,most_common_command,tap_clients,first_published_at,last_published_at
claude-code,366,5,python -m claude_tap run claude -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- -p Reply with one short sentence.,claude:366,2025-05-22T16:57:18.061Z,2026-07-14T04:45:37.792Z
codex,68,4,python -m claude_tap run codex -t http://127.0.0.1:<dummy> --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- exec Reply with one short sentence. --skip-git-repo-check --json,codex:68,2026-01-09T19:49:15.685Z,2026-07-14T05:10:51.485Z
antigravity,16,16,python -m claude_tap --tap-client agy --tap-export-prompt prompt.md --tap-no-live --tap-no-open --tap-no-update-check --tap-output-dir .tap --tap-target http://127.0.0.1:34569 -- --print Reply with one short sentence. --print-timeout 20s --dangerously-skip-permissions,agy:16,2026-06-01T23:14:20Z,2026-07-13T23:26:02Z
kimi-code,44,2,python -m claude_tap --tap-client kimi-code --tap-export-prompt prompt.md --tap-no-live --tap-no-open --tap-no-update-check --tap-output-dir .tap -- --prompt Reply with one short sentence. --output-format text,kimi-code:44,2026-05-22T08:25:26.945Z,2026-07-14T09:06:27.396Z
mimo,5,2,python -m claude_tap --tap-client mimo --tap-export-prompt prompt.md --tap-no-live --tap-no-open --tap-no-update-check --tap-output-dir .tap --tap-proxy-mode reverse -- run Reply with one short sentence. --model openai/gpt-4.1 --format json --dir . --dangerously-skip-permissions,mimo:5,2026-06-15T04:48:22.631Z,2026-07-07T10:07:26.006Z
openclaw,68,3,python -m claude_tap run openclaw --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- agent --local --agent main --message Reply with one short sentence. --json --timeout 20,openclaw:68,2026-01-30T04:49:17.280Z,2026-07-13T17:58:18.920Z
hermes,19,3,python -m claude_tap run hermes --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap -m reverse --no-yolo -- chat -q Reply with one short sentence. --yolo -Q --provider openrouter --model phistory-dummy,hermes:19,2026-03-24T05:34:23Z,2026-07-08T03:11:22Z
kimi,20,2,python -m claude_tap run kimi --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap --no-yolo -- --print --prompt Reply with one short sentence. --model phistory-dummy --output-format text,kimi:20,2026-01-27T03:09:04Z,2026-06-22T12:50:45Z
opencode,85,3,python -m claude_tap run opencode --export-prompt prompt.md --no-live --no-open --no-update-check -o .tap -m reverse --no-yolo -- run Reply with one short sentence. --model openai/gpt-4.1 --format json --dir .,opencode:85,2026-04-08T00:33:25.615Z,2026-07-13T21:07:14.162Z
pi,29,3,python -m claude_tap --tap-client pi --tap-export-prompt prompt.md --tap-no-live --tap-no-open --tap-no-update-check --tap-output-dir .tap -- --provider phistory --model gpt-4.1 --print --mode text --no-session Reply with one short sentence.,pi:29,2026-05-07T15:15:48.756Z,2026-07-09T23:21:59.601Z
omp,17,1,python -m claude_tap run omp --no-yolo --export-prompt prompt.md --no-live --no-open --no-update-check --output-dir .tap -- --print --mode text --no-session --approval-mode yolo --model phistory/gpt-4.1 Reply with one short sentence.,omp:17,2026-07-02T23:17:48.898Z,2026-07-14T00:39:52.848Z
